engine_key,engine,total_issues,real_bugs,bug_rate,fixed,fix_rate,top_bug_kind,kind_SEMANTIC,kind_CRASH,kind_MEMORY,kind_PERF,kind_DOC,kind_OTHER,method_MANUAL_REVIEW,method_FUZZING,method_DIFFERENTIAL_TESTING,method_STATIC_ANALYSIS,method_OTHER
mrabarnett_mrab-regex,mrab-regex,569,302,53.075571177504386,257,85.09933774834437,SEMANTIC,154,41,12,31,11,53,273,0,21,0,2
PCRE2Project_PCRE2,PCRE2,340,147,43.23529411764706,85,57.82312925170068,SEMANTIC,57,19,17,8,17,29,114,17,12,1,1
kkos_oniguruma,Oniguruma,243,144,59.25925925925925,60,41.66666666666667,OTHER,26,28,39,6,5,40,97,31,3,3,6
google_re2,RE2,457,130,28.44638949671772,47,36.15384615384615,OTHER,14,8,13,4,10,81,117,1,2,3,5
intel_hyperscan,Hyperscan,364,128,35.16483516483517,55,42.96875,OTHER,20,24,19,8,10,47,115,1,2,3,3
k-takata_Onigmo,Onigmo,92,54,58.69565217391305,21,38.88888888888889,SEMANTIC,30,5,4,3,3,9,37,1,5,1,2
laurikari_tre,TRE,77,38,49.35064935064935,7,18.421052631578945,SEMANTIC,20,2,7,3,1,5,25,6,4,1,1
fancy-regex_fancy-regex,fancy-regex,60,22,36.666666666666664,9,40.909090909090914,SEMANTIC,12,8,0,1,1,0,17,2,3,0,0
kokke_tiny-regex-c,tiny-regex-c,48,21,43.75,10,47.61904761904761,SEMANTIC,13,0,3,0,0,5,17,0,1,2,0
dlclark_regexp2,regexp2,69,19,27.536231884057973,6,31.57894736842105,CRASH,7,9,1,1,0,1,14,4,1,0,0
openresty_sregex,sregex,23,2,8.695652173913043,2,100.0,SEMANTIC,2,0,0,0,0,0,1,0,0,0,0
